ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN	tajd_AFR
0.4707	0.4867	0.499	0.4162	0.4504	0.4875	0.5897	0.3846	0.0909	-0.582111
0.4754	0.4961	0.4982	0.4546	0.4765	0.478	1.2353	0.2045	0.0909	-1.71451
0.4285	0.4707	0.4882	0.3546	0.4436	0.4778	1.1481	1.1481	1.1481	0.913687
0.4471	0.4918	0.4937	0.415	0.4443	0.4897	1.8095	0.1818	1.5714	-0.581477
0.4367	0.4842	0.4981	0.383	0.47	0.4768	1.3462	1.1538	0.0909	0.249676
0.4665	0.4862	0.4994	0.3823	0.4437	0.49	0.4528	0.3455	0.0625	0.255164
0.4589	0.4768	0.498	0.3862	0.4393	0.4535	0.64	0.66	0.0484	0.16909
0.4678	0.4966	0.4974	0.3955	0.4201	0.4788	0.5	0.0476	0.1429	-0.0598804
0.4629	0.4249	0.4955	0.4276	0.34	0.4709	1.1379	1.069	0.1905	-0.912828
0.4619	0.4733	0.4987	0.3979	0.4161	0.4867	0.6667	0.5111	0.1053	-0.124042
0.4139	0.4975	0.499	0.3509	0.4834	0.49	1.6364	0.1765	0.1176	1.01138
0.4531	0.4838	0.4963	0.3753	0.4531	0.4746	0.6944	0.5556	0.1739	0.422008
0.4508	0.4966	0.4984	0.3867	0.4577	0.4802	0.8723	0.0909	0.0909	0.159238
0.4731	0.4748	0.4989	0.4515	0.44	0.4867	1.3077	0.7692	0.0909	-1.59426
0.4519	0.4931	0.4989	0.402	0.4342	0.4834	1.0741	0.125	0.075	-0.229422
0.4513	0.4957	0.4982	0.3838	0.4198	0.4754	0.8205	0.0612	0.0816	0.228244
0.4698	0.4986	0.499	0.3981	0.4801	0.48	0.4706	0.0789	0.0526	-0.120776
0.4719	0.4995	0.4991	0.4241	0.49	0.49	0.6389	0.0476	0.0952	-0.784829
0.4579	0.499	0.4992	0.4202	0.49	0.49	1.2174	0.1143	0.0857	-0.701582
0.4789	0.4827	0.4994	0.427	0.4318	0.485	0.439	0.3659	0.0444	-0.833968
0.4673	0.4727	0.4944	0.3796	0.3926	0.4795	0.4255	0.383	0.383	0.311658
0.4866	0.4965	0.4994	0.4531	0.29	0.49	0.4186	0.0213	0.0638	-1.51844
0.4564	0.49	0.4652	0.4069	0.475	0.402	0.9773	0.6818	0.6136	-0.368436
0.4499	0.4951	0.4941	0.416	0.4738	0.4219	1.619	0.2353	0.0882	-0.60178
0.4857	0.4911	0.4934	0.4528	0.4599	0.4465	0.4545	0.2955	0.1489	-1.53269
0.4789	0.4951	0.4947	0.4509	0.4883	0.4501	0.7949	0.7179	0.125	-1.56327
0.4415	0.4996	0.4985	0.3828	0.49	0.4827	1.1379	0.0465	0.093	0.251289
0.4623	0.4848	0.498	0.3903	0.4548	0.4776	0.5918	0.5306	0.1017	0.0661032
0.4812	0.4972	0.4981	0.4505	0.4665	0.4644	0.6429	0.0962	0.0577	-1.52819
0.4842	0.4979	0.4998	0.4467	0.4829	0.49	0.4468	0.14	0.02	-1.37629
0.4668	0.4109	0.4917	0.4469	0.3431	0.4867	1.7647	1.5882	1.7059	-1.44298
0.4751	0.4989	0.4979	0.425	0.488	0.4464	0.5385	0.1064	0.0426	-0.800644
0.478	0.4715	0.4969	0.4413	0.4087	0.4631	0.6389	0.5	0.0952	-1.24393
0.4572	0.4917	0.4953	0.4114	0.4796	0.4888	1.0303	0.697	0.7273	-0.478976
0.4955	0.4773	0.4989	0.48	0.3905	0.4768	0.2941	0.2941	0.0517	-2.20144
0.4733	0.497	0.4974	0.4466	0.4801	0.4861	1.0556	0.1818	0.2273	-1.35371
0.4576	0.4982	0.4956	0.3882	0.4821	0.4704	0.6923	0.1111	0.1778	0.116252
0.4636	0.4937	0.4948	0.4029	0.3908	0.441	0.6667	0.069	0.1034	-0.254696
0.4819	0.4991	0.4983	0.4241	0.4875	0.4857	0.3404	0.0784	0.1373	-0.745033
0.483	0.4715	0.4907	0.4579	0.4322	0.3874	0.7073	0.7805	0.102	-1.75363
0.4823	0.4809	0.4966	0.4348	0.4143	0.4706	0.4	0.3143	0.1351	-0.991154
0.4848	0.4754	0.4994	0.4597	0.4297	0.485	0.6316	0.5789	0.0444	-1.7657
0.4215	0.4264	0.4981	0.3331	0.3423	0.462	1.0833	1.0556	0.0556	1.41758
0.4795	0.494	0.4957	0.4513	0.485	0.4421	0.7674	0.6744	0.0847	-1.58435
0.453	0.4983	0.4985	0.4074	0.4826	0.4802	1.1429	0.1081	0.0811	-0.370502
0.4842	0.4979	0.499	0.4148	0.4892	0.4802	0.25	0.25	0.0517	-0.499106
0.4596	0.4769	0.4958	0.4264	0.4536	0.4402	1.32	1.04	0.0811	-0.881481
0.4821	0.4905	0.4994	0.4431	0.4677	0.485	0.4884	0.4318	0.0417	-1.28018
0.4813	0.4959	0.498	0.4439	0.4425	0.4803	0.5283	0.0806	0.1129	-1.3465
0.4592	0.4948	0.4977	0.4264	0.49	0.4801	1.3448	1.1034	0.1316	-0.893795
0.471	0.4769	0.4993	0.429	0.4391	0.4801	0.7442	0.6512	0.0385	-0.950331
0.4755	0.4687	0.4961	0.4292	0.4162	0.4473	0.5714	0.6531	0.0847	-0.942199
0.4522	0.4947	0.4958	0.3715	0.4253	0.4896	0.6842	0.0833	0.6842	0.513787
0.4851	0.4886	0.4993	0.4611	0.4503	0.49	0.6471	0.3143	0.0789	-1.78705
0.4431	0.493	0.4985	0.3921	0.4867	0.4872	1.2571	1.1429	0.1373	0.0226296
0.4766	0.4987	0.4992	0.4505	0.486	0.48	0.9444	0.1042	0.0417	-1.5647
0.4618	0.4916	0.4989	0.4029	0.4787	0.488	0.7222	0.6667	0.1042	-0.249752
0.4635	0.4906	0.4872	0.4166	0.4741	0.4646	0.8529	0.5882	0.5882	-0.608806
0.4231	0.4416	0.4989	0.3426	0.3742	0.44	1.1515	1	0.02	1.20454
0.4583	0.4995	0.4997	0.4022	0.49	0.49	0.8293	0.0536	0.0357	-0.237062
0.4564	0.488	0.4957	0.4062	0.4731	0.4633	0.9643	0.8214	0.1389	-0.333949
0.4704	0.4961	0.4974	0.44	0.4593	0.4735	1.0345	0.1111	0.1111	-1.24729
0.4687	0.4457	0.4952	0.4424	0.381	0.49	1.2692	0.9615	0.9231	-1.329
0.4701	0.4988	0.4976	0.4127	0.4851	0.4684	0.5714	0.0851	0.0851	-0.492999
0.4835	0.4758	0.4931	0.457	0.432	0.4818	0.6486	0.5946	0.6216	-1.68944
0.4931	0.4979	0.4976	0.468	0.4878	0.4766	0.2857	0.2143	0.1163	-1.79546
0.468	0.4854	0.4983	0.4102	0.4531	0.4801	0.6111	0.4722	0.0952	-0.425303
0.4813	0.4752	0.495	0.4443	0.4234	0.4851	0.537	0.5185	0.5185	-1.36353
0.4142	0.446	0.4954	0.3592	0.4147	0.4678	1.8421	1.8947	0.1714	0.820078
0.4737	0.4984	0.4947	0.4354	0.4753	0.4553	0.7333	0.0702	0.1404	-1.12885
0.4487	0.4989	0.4982	0.4036	0.4802	0.4819	1.2647	0.0577	0.1154	-0.280064
0.4665	0.494	0.4909	0.4316	0.4459	0.438	1.0323	0.1316	0.1842	-1.0221
0.4712	0.4982	0.4963	0.4585	0.4872	0.4395	2.3636	0.1628	0.0698	-1.86022
0.4504	0.4791	0.4986	0.3908	0.4469	0.4826	0.9394	0.6857	0.0909	0.0542193
0.4576	0.4925	0.4917	0.4143	0.4327	0.4337	1.0769	0.1346	0.1538	-0.566031
0.4832	0.4947	0.4922	0.4522	0.4495	0.4336	0.5714	0.1224	0.1429	-1.55281
0.4698	0.4949	0.4866	0.4267	0.4431	0.3827	0.7561	0.1042	0.1458	-0.882904
0.4654	0.4968	0.4988	0.4205	0.479	0.485	0.8421	0.1818	0.0909	-0.71922
0.458	0.4615	0.4954	0.4247	0.4292	0.453	1.3714	1.2857	0.1132	-0.860824
0.4439	0.4858	0.4957	0.3891	0.4716	0.4547	1.1613	1.0323	0.1111	0.0959047
0.4673	0.4684	0.4947	0.4385	0.4383	0.4897	1.2121	1.1212	1.0909	-1.2373
0.4625	0.4693	0.4603	0.4357	0.4453	0.3844	1.5	1.3571	0.5946	-1.1632
0.4812	0.4892	0.4958	0.4478	0.4726	0.4751	0.5926	0.6667	0.2059	-1.34899
0.446	0.476	0.4994	0.3823	0.4458	0.485	0.9688	0.8438	0.0435	0.262057
0.4686	0.4882	0.4969	0.4291	0.4681	0.462	0.8571	0.6071	0.0909	-0.922145
0.4322	0.4609	0.4991	0.3623	0.4196	0.4867	1.1379	1.0345	0.0714	0.744174
0.455	0.4929	0.4996	0.4015	0.4833	0.49	0.9394	0.7576	0.0465	-0.218091
0.4402	0.4865	0.49	0.3656	0.4698	0.4755	0.9355	0.8387	0.7097	0.657701
0.4681	0.4936	0.4892	0.4251	0.4596	0.4202	0.8056	0.1951	0.1707	-0.834905
0.4676	0.4951	0.4985	0.4555	0.4446	0.49	2.8	0.1034	0.1724	-1.74232
0.4572	0.4467	0.4994	0.4168	0.3791	0.485	1.1613	0.9032	0.0455	-0.625879
0.4779	0.4863	0.4925	0.4468	0.47	0.4532	0.75	0.875	0.2	-1.40468
0.4791	0.4978	0.4977	0.4258	0.4871	0.4892	0.4255	0.2128	0.2766	-0.815146
0.4013	0.4677	0.4985	0.3324	0.4417	0.4826	1.76	1.32	0.0952	1.44468
0.4607	0.4991	0.4992	0.4137	0.4875	0.49	0.9189	0.0833	0.0833	-0.538578
0.4426	0.4924	0.4973	0.3531	0.441	0.4754	0.76	0.1562	0.125	0.892829
0.4339	0.4814	0.4954	0.3558	0.4646	0.4349	1	1.1471	0.0816	0.895657
0.4727	0.4688	0.4965	0.4268	0.3849	0.4885	0.6444	0.4222	0.4444	-0.879622
0.4716	0.4968	0.499	0.4321	0.4717	0.4867	0.7742	0.1316	0.0789	-1.0019
0.4827	0.4973	0.4995	0.4434	0.4755	0.49	0.4667	0.1296	0.0556	-1.28686
0.4787	0.4618	0.4889	0.4543	0.4091	0.4706	0.9143	0.8	0.6286	-1.66618
0.45	0.4978	0.4966	0.4122	0.4703	0.4707	1.4583	0.0811	0.1351	-0.502367
0.4777	0.4993	0.4956	0.4513	0.49	0.4303	0.8919	0.0732	0.0732	-1.5825
0.4426	0.4944	0.4946	0.3887	0.4892	0.49	1.2083	1.0833	1.1667	0.103604
0.4765	0.4971	0.4971	0.4453	0.4772	0.473	0.8	0.1463	0.122	-1.38609
0.4618	0.4919	0.4991	0.42	0.4804	0.49	1	0.7273	0.0952	-0.708003
0.4828	0.498	0.4922	0.4725	0.4729	0.4428	1.7097	0.0833	0.1667	-2.29783
0.461	0.4717	0.4997	0.3946	0.4049	0.48	0.66	0.4706	0.0169	-0.0417363
0.4379	0.4989	0.4993	0.3534	0.4851	0.49	0.8718	0.0816	0.0816	0.950332
0.4413	0.4602	0.4945	0.3854	0.4218	0.4685	1.1935	1.129	0.2174	0.190756
0.4647	0.4802	0.4929	0.4407	0.4622	0.4871	1.5714	1.1429	1.2143	-1.31283
0.4637	0.4474	0.4991	0.413	0.3372	0.4801	0.7879	0.5758	0.0488	-0.505991
0.4506	0.481	0.4983	0.41	0.4626	0.4841	1.3462	1.0769	0.122	-0.443204
0.4602	0.4602	0.4979	0.4023	0.4041	0.4803	0.7632	0.7895	0.125	-0.235108
0.4465	0.4604	0.4992	0.4002	0.4211	0.46	1.2903	1.0968	0.0208	-0.18852
0.4643	0.4938	0.4965	0.4376	0.4895	0.4648	1.4286	1.4643	0.1136	-1.21319
0.4543	0.48	0.4991	0.4016	0.4079	0.49	0.9677	0.3056	0.1	-0.219291
0.4718	0.4179	0.4882	0.4456	0.3077	0.4632	1.1429	0.9429	0.4878	-1.44287
0.4633	0.4536	0.4942	0.4151	0.3769	0.4416	0.8333	0.6944	0.1163	-0.569629
0.4857	0.4966	0.4993	0.4503	0.4896	0.49	0.4255	0.4894	0.0741	-1.46591
0.4619	0.4759	0.4979	0.4192	0.4294	0.4817	0.9762	0.5581	0.1346	-0.699564
0.4641	0.4995	0.4998	0.4251	0.49	0.49	1	0.0513	0.0256	-0.846727
0.4709	0.4989	0.4953	0.4235	0.4802	0.4473	0.6667	0.0625	0.1042	-0.788669
0.4522	0.4976	0.4978	0.3972	0.4763	0.4863	0.9722	0.1136	0.1905	-0.107794
0.4618	0.4985	0.4979	0.4214	0.4867	0.4851	1.027	0.125	0.1667	-0.753433
0.4821	0.4985	0.4974	0.4343	0.4705	0.4887	0.4	0.0556	0.3	-1.0359
0.4497	0.4917	0.4926	0.3972	0.4835	0.4445	1.0741	1.037	0.1622	-0.107079
0.4489	0.4357	0.4908	0.4171	0.3847	0.41	1.76	1.44	0.125	-0.643976
0.4512	0.4803	0.4967	0.4078	0.461	0.4547	1.2424	1.0606	0.0816	-0.388855
