ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN
0.4707	0.4867	0.499	0.4162	0.4504	0.4875	0.5897	0.3846	0.0909
0.4754	0.4961	0.4982	0.4546	0.4765	0.478	1.2353	0.2045	0.0909
0.4285	0.4707	0.4882	0.3546	0.4436	0.4778	1.1481	1.1481	1.1481
0.4471	0.4918	0.4937	0.415	0.4443	0.4897	1.8095	0.1818	1.5714
0.4367	0.4842	0.4981	0.383	0.47	0.4768	1.3462	1.1538	0.0909
0.4665	0.4862	0.4994	0.3823	0.4437	0.49	0.4528	0.3455	0.0625
0.4589	0.4768	0.498	0.3862	0.4393	0.4535	0.64	0.66	0.0484
0.4678	0.4966	0.4974	0.3955	0.4201	0.4788	0.5	0.0476	0.1429
0.4629	0.4249	0.4955	0.4276	0.34	0.4709	1.1379	1.069	0.1905
0.4619	0.4733	0.4987	0.3979	0.4161	0.4867	0.6667	0.5111	0.1053
0.4139	0.4975	0.499	0.3509	0.4834	0.49	1.6364	0.1765	0.1176
0.4531	0.4838	0.4963	0.3753	0.4531	0.4746	0.6944	0.5556	0.1739
0.4508	0.4966	0.4984	0.3867	0.4577	0.4802	0.8723	0.0909	0.0909
0.4731	0.4748	0.4989	0.4515	0.44	0.4867	1.3077	0.7692	0.0909
0.4519	0.4931	0.4989	0.402	0.4342	0.4834	1.0741	0.125	0.075
0.4513	0.4957	0.4982	0.3838	0.4198	0.4754	0.8205	0.0612	0.0816
0.4698	0.4986	0.499	0.3981	0.4801	0.48	0.4706	0.0789	0.0526
0.4719	0.4995	0.4991	0.4241	0.49	0.49	0.6389	0.0476	0.0952
0.4579	0.499	0.4992	0.4202	0.49	0.49	1.2174	0.1143	0.0857
0.4789	0.4827	0.4994	0.427	0.4318	0.485	0.439	0.3659	0.0444
0.4673	0.4727	0.4944	0.3796	0.3926	0.4795	0.4255	0.383	0.383
0.4866	0.4965	0.4994	0.4531	0.29	0.49	0.4186	0.0213	0.0638
