ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN
0.4662	0.4685	0.4904	0.3865	0.3465	0.4447	0.48	0.3067	0.2237
0.4153	0.4138	0.4174	0.3204	0.3168	0.2683	1.1111	1.1111	0.7407
0.4488	0.4423	0.4652	0.3459	0.233	0.3834	0.5934	0.3846	0.4835
0.4488	0.4451	0.4922	0.3412	0.2774	0.4749	0.5714	0.4286	0.4603
0.4686	0.4687	0.4871	0.3927	0.2998	0.433	0.4659	0.2333	0.2556
0.429	0.418	0.47	0.3265	0.2272	0.4282	0.8507	0.6119	0.7761
0.4086	0.3969	0.4109	0.2661	0.211	0.2288	0.8636	0.8182	0.697
0.4491	0.4374	0.4764	0.3709	0.328	0.4321	0.7532	0.7013	0.5714
0.4242	0.4198	0.4369	0.3179	0.2644	0.3197	0.8889	0.6944	0.6667
0.4308	0.4057	0.4539	0.3346	0.2061	0.3719	0.875	0.7	0.65
0.4355	0.4382	0.4867	0.3207	0.2853	0.4609	0.6951	0.5244	0.5366
0.4523	0.4454	0.4746	0.3719	0.3138	0.4108	0.6854	0.5169	0.4382
0.452	0.4555	0.4924	0.356	0.278	0.4673	0.5895	0.3263	0.3158
0.4162	0.4031	0.4513	0.3045	0.1824	0.3754	0.9538	0.6769	0.7385
0.4496	0.4505	0.4944	0.3553	0.3106	0.4817	0.6316	0.4421	0.4526
0.4252	0.4209	0.4578	0.2938	0.2564	0.3574	0.7333	0.6533	0.4933
0.4461	0.4326	0.4672	0.3746	0.2645	0.401	0.8696	0.5362	0.5507
0.3636	0.3715	0.4111	0.2708	0.266	0.3478	2	1.6667	1.6875
0.4588	0.4516	0.483	0.3708	0.3294	0.4358	0.5422	0.4819	0.3855
0.4462	0.4482	0.4988	0.3661	0.3376	0.4863	0.7826	0.5652	0.1
0.4483	0.4531	0.4567	0.3506	0.3291	0.3306	0.6282	0.4615	0.4177
0.4347	0.445	0.4705	0.3545	0.3368	0.4311	0.9649	0.614	0.807
0.4387	0.4295	0.4486	0.3426	0.235	0.3412	0.7671	0.5068	0.5753
0.4289	0.4185	0.4894	0.3259	0.2255	0.4708	0.8493	0.6027	0.589
0.4652	0.4638	0.4977	0.3974	0.3415	0.4888	0.5738	0.3548	0.2581
0.427	0.4287	0.4414	0.2822	0.2741	0.3069	0.6585	0.6098	0.5488
0.4563	0.4538	0.477	0.3542	0.2742	0.412	0.5053	0.3368	0.3895
0.4189	0.4223	0.4766	0.3048	0.3339	0.4457	0.9024	1.0732	0.8049
0.3965	0.4133	0.4778	0.2511	0.2925	0.4516	0.9859	0.9296	0.8873
0.4451	0.4457	0.4572	0.3421	0.2922	0.3607	0.64	0.4533	0.52
0.437	0.4404	0.4714	0.3085	0.2887	0.4011	0.6164	0.5068	0.4521
0.4374	0.4293	0.4936	0.323	0.2774	0.4818	0.675	0.6125	0.55
0.4658	0.4618	0.4904	0.3723	0.3228	0.4521	0.4211	0.3368	0.2632
0.4425	0.4424	0.4864	0.3317	0.2952	0.4547	0.6316	0.5	0.4474
0.4369	0.4358	0.4855	0.3176	0.2864	0.4551	0.6571	0.5571	0.5
0.4298	0.4196	0.4494	0.322	0.2579	0.352	0.8052	0.6753	0.6154
0.4307	0.4274	0.4914	0.2924	0.2316	0.472	0.6444	0.5222	0.4556
0.4109	0.4206	0.4852	0.3015	0.3057	0.4658	1.0417	0.875	0.7917
0.4532	0.4556	0.4845	0.3722	0.3504	0.4475	0.6667	0.5	0.4444
0.439	0.4405	0.4457	0.3363	0.2889	0.3198	0.72	0.5067	0.5333
0.4494	0.4442	0.4612	0.3469	0.2969	0.353	0.5882	0.4824	0.4235
0.4095	0.4165	0.4958	0.2594	0.2674	0.4898	0.8194	0.75	0.7083
0.4614	0.4672	0.4685	0.3735	0.3634	0.3729	0.5053	0.3684	0.3789
0.4316	0.4224	0.4462	0.3237	0.2135	0.336	0.7821	0.5385	0.5897
0.4166	0.4924	0.4478	0.3325	0.4635	0.3709	1.2143	0.2754	0.7857
0.4528	0.4514	0.4996	0.3428	0.3154	0.49	0.5143	0.4429	0.038
0.4538	0.4445	0.495	0.3692	0.2664	0.4788	0.6322	0.4138	0.3182
0.4256	0.4119	0.4804	0.3112	0.2356	0.4532	0.8169	0.7042	0.7606
0.4022	0.3952	0.4598	0.2592	0.1748	0.4077	0.9333	0.7467	0.8533
0.3904	0.3903	0.4829	0.2512	0.2196	0.4633	1.0923	0.9385	0.9091
0.4374	0.4553	0.4873	0.3449	0.3653	0.4632	0.8116	0.5775	0.5493
0.4425	0.4246	0.4416	0.371	0.2406	0.3301	0.9306	0.5694	0.6389
0.4353	0.4401	0.4798	0.3102	0.299	0.441	0.6486	0.5405	0.5541
0.4715	0.4781	0.4849	0.4093	0.3116	0.3862	0.5054	0.1633	0.1735
0.3599	0.3581	0.4212	0.2197	0.1941	0.3494	1.4828	1.3448	1.3103
0.4535	0.4485	0.4891	0.3495	0.3159	0.4614	0.5309	0.4815	0.4074
0.4046	0.3774	0.4336	0.3263	0.2279	0.3707	1.5094	1.1887	1.2264
0.4329	0.4366	0.4989	0.3111	0.3112	0.4836	0.6901	0.6338	0.075
0.4461	0.4221	0.4956	0.3672	0.2589	0.4884	0.7941	0.6471	0.6176
0.4428	0.4321	0.443	0.3797	0.2731	0.2907	1.0395	0.5641	0.481
0.4432	0.436	0.4894	0.3287	0.239	0.4682	0.6056	0.4507	0.5211
0.4395	0.4363	0.459	0.3054	0.2123	0.3314	0.5684	0.4105	0.3895
0.4141	0.4077	0.4072	0.2761	0.2382	0.2035	0.8235	0.7647	0.6765
0.4573	0.4572	0.4707	0.3647	0.2676	0.3772	0.5373	0.2985	0.3582
0.452	0.4552	0.4784	0.333	0.3362	0.4274	0.4896	0.4545	0.4583
0.468	0.4642	0.4978	0.37	0.3004	0.4888	0.3776	0.2755	0.2449
0.4586	0.4451	0.4823	0.3931	0.3156	0.4388	0.7105	0.5263	0.4342
0.4494	0.448	0.4801	0.341	0.2523	0.4315	0.56	0.36	0.44
0.4316	0.4336	0.4962	0.3377	0.3104	0.4889	0.8824	0.6765	0.5147
0.4542	0.4444	0.4949	0.3463	0.259	0.4812	0.5057	0.4023	0.3793
0.4328	0.4287	0.4962	0.3381	0.2963	0.4897	0.8596	0.6897	0.5862
0.4425	0.4403	0.4795	0.3145	0.2881	0.4385	0.56	0.5067	0.5333
0.4471	0.4411	0.4617	0.2896	0.2571	0.3734	0.4318	0.4318	0.5
0.4748	0.4696	0.4971	0.4149	0.3586	0.4679	0.4615	0.3205	0.1013
0.4424	0.4331	0.4944	0.3524	0.2798	0.4754	0.7582	0.5714	0.3
0.4606	0.4603	0.4933	0.3707	0.2843	0.4724	0.5063	0.2911	0.3291
0.4144	0.4198	0.4338	0.294	0.2823	0.3147	0.9176	0.7647	0.6941
0.4353	0.442	0.4977	0.3133	0.3054	0.4718	0.6618	0.5352	0.093
0.4355	0.4224	0.4754	0.3441	0.2383	0.4284	0.8471	0.5882	0.5647
0.4563	0.4577	0.4991	0.3368	0.2968	0.4851	0.4405	0.3333	0.0638
0.4589	0.4615	0.4893	0.347	0.3439	0.455	0.4375	0.3906	0.3281
0.4277	0.426	0.4995	0.2912	0.2185	0.488	0.6829	0.5122	0.0485
0.437	0.4261	0.4925	0.3332	0.2723	0.4803	0.7391	0.6377	0.6232
0.4566	0.4604	0.4946	0.3298	0.3234	0.4779	0.4167	0.3542	0.3333
0.4474	0.4546	0.4967	0.3412	0.3414	0.4881	0.5949	0.481	0.3797
0.4068	0.3818	0.4677	0.3033	0.1964	0.4319	1.1507	0.9726	0.9726
0.4476	0.4461	0.4954	0.3467	0.3115	0.4493	0.619	0.5	0.1053
0.4348	0.4319	0.4894	0.3399	0.2914	0.4683	0.8281	0.625	0.5156
0.4655	0.4639	0.4914	0.3725	0.3182	0.4524	0.4268	0.3049	0.2317
0.4505	0.4369	0.4619	0.3382	0.2408	0.3676	0.5309	0.4444	0.4691
0.4527	0.4427	0.4962	0.3546	0.3091	0.4395	0.5692	0.5385	0.0714
