ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN
0.4509	0.4557	0.4803	0.3601	0.3257	0.4312	0.6338	0.4167	0.4306
0.4513	0.4619	0.4979	0.3736	0.3879	0.4772	0.7222	0.5833	0.1047
0.4385	0.4479	0.4971	0.33	0.34	0.4532	0.6914	0.5802	0.0686
0.4584	0.4593	0.4974	0.374	0.3474	0.4798	0.5682	0.4318	0.15
0.4731	0.4795	0.4979	0.3763	0.3915	0.4896	0.3182	0.2614	0.2614
0.4558	0.4581	0.4897	0.3055	0.3056	0.4464	0.369	0.3452	0.2529
0.4544	0.4454	0.4964	0.3922	0.345	0.4734	0.8254	0.6508	0.16
0.4407	0.451	0.4947	0.3431	0.3375	0.4842	0.7286	0.5211	0.507
0.4287	0.4265	0.4942	0.2872	0.2472	0.4853	0.6538	0.5641	0.6538
0.4311	0.421	0.4714	0.3434	0.2731	0.4303	0.9444	0.7083	0.75
0.4194	0.4958	0.4958	0.3409	0.4548	0.4497	1.2419	0.1071	0.0952
0.4194	0.3959	0.4917	0.332	0.2602	0.4827	1.129	1.0484	0.9516
0.4638	0.4621	0.499	0.3922	0.3187	0.49	0.5698	0.3258	0.1089
0.4431	0.4451	0.4779	0.3164	0.2987	0.4291	0.5581	0.4767	0.4884
0.4624	0.4786	0.4816	0.3461	0.4087	0.4265	0.3855	0.3373	0.3614
0.4495	0.464	0.4992	0.3621	0.3744	0.4886	0.6753	0.4615	0.0795
0.4311	0.426	0.4958	0.3348	0.2673	0.4885	0.8701	0.6234	0.5714
0.4621	0.4565	0.4876	0.387	0.3147	0.4294	0.5714	0.3803	0.2297
0.4484	0.4566	0.4938	0.3411	0.3139	0.4739	0.5769	0.378	0.3171
0.4326	0.427	0.486	0.3497	0.2799	0.4611	0.9683	0.6508	0.5873
0.4143	0.4254	0.4945	0.2933	0.3173	0.4873	0.9155	0.8592	0.7746
0.4329	0.4305	0.4804	0.3307	0.2845	0.4434	0.8028	0.6197	0.5634
0.4211	0.4124	0.4905	0.3291	0.2882	0.4786	1.0541	0.9189	0.8108
0.4637	0.4651	0.4961	0.3908	0.3821	0.4836	0.5616	0.4795	0.32
0.4702	0.4727	0.4986	0.3986	0.3678	0.4821	0.4653	0.301	0.0893
0.4516	0.4438	0.4753	0.3648	0.3186	0.4256	0.6508	0.5556	0.5397
0.4608	0.4592	0.4705	0.3901	0.368	0.3915	0.625	0.5185	0.4198
0.4697	0.478	0.4967	0.369	0.3811	0.4801	0.3483	0.2584	0.2022
0.4489	0.4446	0.4945	0.3829	0.2686	0.4833	0.8841	0.4167	0.5072
0.45	0.4615	0.4931	0.3365	0.3808	0.4729	0.5316	0.5443	0.3544
0.4341	0.4339	0.4979	0.3765	0.3537	0.4826	1.3182	0.9773	0.1404
0.4147	0.4198	0.4634	0.3394	0.3369	0.428	1.3725	1.1765	1.1176
0.429	0.4388	0.4517	0.3191	0.3456	0.3706	0.8033	0.7869	0.6885
0.4584	0.4509	0.4872	0.3613	0.3162	0.4549	0.5	0.4524	0.4167
0.458	0.4736	0.4973	0.3641	0.4063	0.4823	0.5217	0.4348	0.1818
0.4312	0.4377	0.4886	0.3177	0.3126	0.4463	0.7536	0.6232	0.2857
0.4411	0.4218	0.4984	0.3578	0.2096	0.475	0.8333	0.5385	0.07
0.4578	0.4604	0.4878	0.3575	0.3317	0.4546	0.494	0.3735	0.3855
0.4281	0.4213	0.4592	0.3269	0.2649	0.3949	0.8734	0.675	0.7125
0.4214	0.4299	0.4893	0.3051	0.3096	0.4742	0.8571	0.7321	0.7321
0.4666	0.4614	0.495	0.3862	0.3284	0.4344	0.4706	0.3529	0.0889
0.4657	0.4532	0.4928	0.3857	0.2408	0.4747	0.4868	0.3026	0.4079
0.4705	0.472	0.4974	0.3756	0.3783	0.4891	0.3562	0.3425	0.3151
0.4349	0.4269	0.4913	0.3622	0.314	0.4791	1.0517	0.8103	0.7241
0.455	0.435	0.4746	0.3901	0.2947	0.4307	0.7826	0.5942	0.6232
0.4611	0.499	0.4986	0.3935	0.4872	0.4817	0.6479	0.0824	0.0824
0.4491	0.4421	0.4362	0.3601	0.317	0.2458	0.6706	0.5747	0.4598
0.4507	0.4377	0.4963	0.3819	0.3004	0.4885	0.8182	0.5758	0.4776
0.4335	0.4303	0.4786	0.3365	0.3194	0.413	0.8305	0.7797	0.3571
0.4507	0.4381	0.4887	0.3807	0.3348	0.4689	0.8068	0.7273	0.5909
0.4458	0.4466	0.4995	0.3618	0.3493	0.49	0.7564	0.6538	0.05
0.46	0.4708	0.4793	0.3408	0.3509	0.4157	0.4028	0.2877	0.3562
0.4809	0.479	0.4965	0.4219	0.3693	0.4667	0.3511	0.2211	0.1224
0.4207	0.4347	0.4727	0.3153	0.3298	0.4342	0.9403	0.7612	0.7612
0.4296	0.4886	0.4993	0.3481	0.4743	0.49	1.0328	0.8197	0.0811
0.4018	0.3958	0.4947	0.3265	0.2989	0.4578	1.6136	1.3864	0.1493
0.4505	0.43	0.4957	0.3878	0.2752	0.488	0.8947	0.5965	0.5614
0.4563	0.4607	0.4951	0.3465	0.3044	0.4321	0.4737	0.3158	0.0833
0.4656	0.4641	0.481	0.407	0.3905	0.4218	0.65	0.55	0.35
0.4316	0.4451	0.4927	0.3222	0.3346	0.4793	0.7727	0.6023	0.5506
0.3708	0.4987	0.4984	0.2659	0.4873	0.4859	1.6852	0.1158	0.1263
0.4166	0.4194	0.4833	0.2781	0.2466	0.4562	0.7945	0.6438	0.6438
0.4594	0.4505	0.4951	0.3577	0.2581	0.4355	0.469	0.3451	0.0873
0.4208	0.4089	0.4974	0.3331	0.2615	0.4738	1.1029	0.8382	0.1111
0.4232	0.4226	0.492	0.3215	0.2805	0.4807	0.9365	0.7143	0.7143
0.4573	0.4453	0.4952	0.363	0.2929	0.4831	0.5287	0.4598	0.4
0.4415	0.4244	0.4909	0.373	0.2743	0.4759	0.9861	0.6667	0.625
0.3862	0.4116	0.4834	0.2046	0.279	0.4648	0.9403	0.8806	0.9254
0.4393	0.4282	0.4838	0.3263	0.2443	0.4536	0.6593	0.5385	0.5604
0.4711	0.4719	0.4893	0.4184	0.3903	0.4404	0.5972	0.3889	0.2329
0.455	0.4488	0.4907	0.3887	0.3561	0.4708	0.7681	0.6522	0.4783
0.4322	0.4397	0.4872	0.329	0.3252	0.4325	0.8049	0.6463	0.25
0.4766	0.4745	0.4989	0.4043	0.3611	0.4856	0.3592	0.2621	0.0804
0.4628	0.4605	0.4985	0.3931	0.3716	0.4814	0.6	0.5125	0.0889
0.4442	0.4307	0.4954	0.3704	0.2927	0.4859	0.8769	0.6462	0.4848
0.4376	0.4369	0.4662	0.3423	0.3095	0.4007	0.7879	0.6212	0.5758
0.4298	0.445	0.4883	0.3219	0.3521	0.4715	0.8052	0.7013	0.7143
0.4666	0.494	0.4959	0.3944	0.4755	0.4637	0.5181	0.3294	0.1304
0.4644	0.4591	0.4679	0.409	0.346	0.374	0.7089	0.4304	0.3924
0.4639	0.4491	0.4948	0.3679	0.2706	0.4808	0.4353	0.3765	0.3765
0.4557	0.4549	0.49	0.3536	0.3257	0.4651	0.5122	0.4268	0.4146
0.4507	0.4415	0.4964	0.3686	0.3226	0.4718	0.697	0.6061	0.1519
0.4443	0.4381	0.4965	0.3454	0.2544	0.4891	0.6739	0.4565	0.4674
0.4526	0.4411	0.4967	0.3631	0.3053	0.4646	0.619	0.5476	0.1053
0.4416	0.4952	0.4971	0.368	0.4892	0.4617	0.9221	0.8052	0.0865
0.4505	0.4569	0.4883	0.3605	0.3641	0.4576	0.6437	0.5402	0.3956
0.4303	0.4803	0.4968	0.3501	0.4558	0.4643	1.0351	0.8421	0.1026
0.445	0.4533	0.4833	0.3419	0.3412	0.4534	0.6413	0.5	0.587
0.4252	0.4208	0.4868	0.353	0.3301	0.4709	1.2321	1.0714	0.8571
0.422	0.4342	0.4641	0.2867	0.3195	0.3977	0.75	0.7105	0.6053
0.4413	0.4257	0.4954	0.3515	0.2835	0.4885	0.7765	0.6824	0.6706
0.4368	0.4124	0.4818	0.3763	0.2834	0.4593	1.2031	0.8906	0.8438
