ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN	tajd_AFR
0.4556	0.4452	0.4878	0.3721	0.2537	0.4572	0.6129	0.3871	0.4194	0.479277
0.471	0.4677	0.4898	0.3969	0.2275	0.4232	0.4375	0.1875	0.1667	-0.0953462
0.4742	0.4724	0.4921	0.3943	0.2882	0.4357	0.3617	0.1915	0.1489	-0.0324049
0.4791	0.4631	0.4833	0.4223	0.2962	0.4333	0.4	0.28	0.36	-0.640796
0.4465	0.4369	0.4962	0.3689	0.2958	0.4446	0.8	0.5714	0.0769	0.577199
0.4484	0.4364	0.4934	0.3741	0.2672	0.4643	0.8	0.5	0.2353	0.448926
0.4652	0.4644	0.4953	0.366	0.3414	0.4795	0.4082	0.3469	0.3061	0.617812
0.4637	0.4673	0.494	0.3553	0.3641	0.4775	0.3947	0.3684	0.3684	0.814162
0.458	0.4495	0.475	0.3755	0.3514	0.3987	0.5854	0.6098	0.3659	0.416223
0.4654	0.4631	0.4881	0.3684	0.2794	0.447	0.413	0.2609	0.3043	0.560279
0.4695	0.4624	0.4682	0.4034	0.3345	0.3641	0.5111	0.3556	0.3556	-0.2561
0.443	0.4425	0.4984	0.312	0.2635	0.4886	0.5429	0.4286	0.1628	1.71487
0.4484	0.4553	0.4664	0.3747	0.3599	0.3656	0.8065	0.5484	0.3871	0.436475
0.4781	0.4839	0.498	0.4327	0.3954	0.4816	0.5185	0.2037	0.1273	-1.03831
0.4719	0.4739	0.4764	0.4171	0.3294	0.3993	0.561	0.2195	0.3415	-0.604516
0.4487	0.4532	0.4741	0.3477	0.3437	0.416	0.6047	0.5116	0.4884	1.04928
0.4398	0.4447	0.4641	0.298	0.3253	0.3964	0.5405	0.5676	0.5946	1.98657
0.4611	0.4607	0.4677	0.3758	0.3004	0.3434	0.5238	0.3095	0.3095	0.403879
0.4599	0.4603	0.492	0.3274	0.3198	0.4646	0.3696	0.3478	0.3043	1.39503
0.4762	0.4772	0.4954	0.3329	0.2728	0.4694	0.2	0.1455	0.1818	1.18854
0.481	0.4828	0.491	0.4077	0.3391	0.4078	0.2857	0.1429	0.119	-0.329602
0.4519	0.4572	0.4692	0.3324	0.3143	0.3482	0.4884	0.3721	0.3023	1.33921
0.4363	0.4713	0.4648	0.375	0.4255	0.3525	1.2	0.68	0.3704	0.438324
0.4536	0.4453	0.4514	0.3426	0.3158	0.2968	0.5	0.525	0.4	1.12125
0.4755	0.4743	0.4821	0.3953	0.28	0.3773	0.3415	0.1707	0.1951	-0.0541634
0.4557	0.452	0.4637	0.3571	0.3075	0.24	0.5278	0.4167	0.2222	0.808663
0.4637	0.4725	0.4699	0.3972	0.412	0.3402	0.6111	0.5	0.2778	-0.102471
0.4676	0.4569	0.4747	0.3558	0.3265	0.369	0.3404	0.4043	0.2766	0.81442
0.457	0.4521	0.4934	0.3968	0.3006	0.4791	0.8	0.4	0.4667	-0.0948749
0.4738	0.4783	0.4915	0.3846	0.3051	0.4566	0.3333	0.1569	0.2549	0.192375
0.4336	0.4327	0.4452	0.3326	0.3124	0.3471	0.8	0.7	0.6667	1.35841
0.4511	0.448	0.468	0.3251	0.2673	0.3924	0.4762	0.381	0.4762	1.4745
0.453	0.4554	0.4704	0.3401	0.2915	0.4016	0.5	0.3478	0.4783	1.19526
0.449	0.4499	0.4853	0.3434	0.3306	0.4464	0.5778	0.5111	0.4	1.14276
0.474	0.4733	0.4967	0.4219	0.3757	0.4299	0.5429	0.3143	0.0526	-0.708856
0.4563	0.4607	0.4539	0.3505	0.2755	0.3348	0.4894	0.2766	0.4681	0.97389
0.4702	0.4632	0.4991	0.4102	0.3042	0.485	0.5484	0.2903	0.0625	-0.409124
0.4488	0.4501	0.4501	0.3557	0.2782	0.2927	0.6486	0.3784	0.4054	0.864758
0.4625	0.4536	0.4697	0.3533	0.2259	0.3543	0.4048	0.2857	0.3095	0.873495
0.4597	0.4591	0.498	0.3825	0.29	0.482	0.5952	0.3095	0.125	0.252903
0.4708	0.4765	0.4721	0.413	0.3979	0.3846	0.5556	0.3333	0.3611	-0.490369
0.4671	0.4614	0.4939	0.4011	0.3021	0.475	0.5556	0.3056	0.3333	-0.19663
0.473	0.4726	0.4808	0.3783	0.3454	0.3756	0.3256	0.2558	0.2093	0.321899
0.4431	0.4404	0.4446	0.3284	0.2917	0.2995	0.6061	0.5152	0.4848	1.40954
0.4753	0.468	0.4821	0.3897	0.3086	0.3931	0.325	0.25	0.225	0.0702909
0.475	0.4797	0.4964	0.409	0.3725	0.4778	0.4182	0.2182	0.2	-0.396835
0.4728	0.471	0.4888	0.3464	0.2738	0.4377	0.2553	0.1915	0.234	0.954559
0.459	0.4556	0.4935	0.3838	0.2909	0.469	0.6207	0.3448	0.2759	0.212284
0.4491	0.454	0.4488	0.3243	0.2861	0.2888	0.5	0.3529	0.4118	1.45483
0.4441	0.4412	0.4524	0.3482	0.2034	0.3206	0.6944	0.3611	0.4444	1.03296
0.4653	0.4626	0.4767	0.389	0.3445	0.4087	0.5135	0.3784	0.3784	0.0911956
0.4569	0.4571	0.4942	0.3345	0.2975	0.4754	0.4255	0.3404	0.3191	1.28735
0.465	0.464	0.49	0.3887	0.2261	0.4438	0.5192	0.2115	0.2308	0.104018
0.4754	0.4737	0.481	0.422	0.3917	0.4239	0.5	0.3611	0.3611	-0.706748
0.4468	0.4446	0.4921	0.3177	0.2611	0.4731	0.5106	0.4043	0.4255	1.65855
0.4602	0.4584	0.458	0.3483	0.2861	0.3108	0.4222	0.3111	0.3556	0.995031
0.484	0.4775	0.4887	0.4288	0.2941	0.4281	0.3111	0.1556	0.2	-0.841832
0.4424	0.4366	0.4804	0.3352	0.2976	0.4414	0.6512	0.5814	0.5349	1.32793
0.4719	0.4702	0.4908	0.3964	0.325	0.4438	0.4167	0.25	0.2083	-0.0824662
0.4705	0.4667	0.4881	0.4025	0.3529	0.4579	0.4828	0.3448	0.4138	-0.218397
0.4636	0.4563	0.4975	0.4084	0.3669	0.488	0.7297	0.5676	0.2703	-0.390457
0.4587	0.457	0.4871	0.3598	0.3532	0.4503	0.4898	0.4898	0.3673	0.773371
0.452	0.4466	0.4928	0.3743	0.2671	0.4753	0.7105	0.3947	0.4211	0.449708
0.4388	0.4513	0.49	0.3775	0.3784	0.4726	1.1471	0.7647	0.5882	0.38825
0.4488	0.4643	0.4976	0.3193	0.3567	0.4892	0.4878	0.3902	0.2927	1.5876
0.4585	0.4594	0.4995	0.3919	0.3618	0.49	0.7027	0.4865	0.0488	0.0257631
0.4854	0.4836	0.4983	0.4297	0.3893	0.482	0.2826	0.1957	0.1087	-0.853677
0.4748	0.4737	0.4958	0.4261	0.3898	0.4812	0.5588	0.3529	0.2941	-0.817386
0.4782	0.4728	0.4945	0.3984	0.3695	0.4727	0.3043	0.3043	0.2609	-0.124433
0.4757	0.4739	0.4935	0.3967	0.3786	0.4696	0.3438	0.3125	0.2812	-0.0818407
0.4526	0.4532	0.4714	0.3277	0.3303	0.3985	0.4634	0.4634	0.439	1.41222
0.4771	0.4689	0.4941	0.4244	0.2215	0.4681	0.4706	0.1765	0.2353	-0.752349
0.4623	0.4611	0.4747	0.3023	0.2393	0.3503	0.2963	0.2407	0.2407	1.84326
0.4699	0.4646	0.4752	0.3892	0.3669	0.4057	0.4211	0.4211	0.3947	0.084261
0.4505	0.4381	0.4707	0.3968	0.342	0.3376	1.0323	0.7742	0.2647	-0.0974528
0.4657	0.4704	0.4936	0.3611	0.3513	0.4687	0.3824	0.2941	0.2647	0.677445
0.4525	0.4487	0.4921	0.35	0.2496	0.4622	0.55	0.35	0.275	0.978979
0.4403	0.4426	0.497	0.3388	0.3347	0.4787	0.7097	0.6452	0.1667	1.21451
0.4627	0.4574	0.4872	0.3746	0.3471	0.4517	0.4865	0.4595	0.3784	0.41852
0.4724	0.4861	0.4741	0.403	0.4118	0.3427	0.4412	0.2059	0.2353	-0.232787
0.4605	0.4659	0.497	0.3721	0.3721	0.4709	0.5161	0.4194	0.1176	0.466717
0.4555	0.4564	0.4924	0.2698	0.3304	0.4694	0.3158	0.4211	0.3421	2.26673
0.4664	0.4705	0.497	0.358	0.3413	0.487	0.3636	0.2727	0.303	0.728882
0.4565	0.4549	0.4619	0.3215	0.3221	0.2791	0.3958	0.4167	0.2708	1.53341
0.4752	0.4717	0.4866	0.4082	0.2674	0.4224	0.4091	0.1818	0.2273	-0.363685
