ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN
0.4091	0.4147	0.4621	0.3139	0.3012	0.4207	1.2	0.96	1
0.4302	0.4439	0.4971	0.3403	0.3664	0.4727	0.9375	0.8438	0.122
0.4207	0.4274	0.4977	0.3127	0.3074	0.4319	0.9211	0.7632	0.037
0.4601	0.4632	0.498	0.3847	0.3406	0.4787	0.6	0.36	0.1071
0.4567	0.4673	0.4973	0.3259	0.3602	0.49	0.4048	0.3571	0.381
0.4389	0.4439	0.4906	0.2357	0.2339	0.4621	0.4186	0.3721	0.3409
0.4359	0.4194	0.4967	0.3689	0.3097	0.4801	1.1111	0.9259	0.2
0.4204	0.4228	0.4919	0.3352	0.2747	0.4824	1.1379	0.6897	0.8621
0.4084	0.4	0.4936	0.2753	0.2265	0.4869	0.9143	0.8286	0.9714
0.4169	0.4067	0.4653	0.3303	0.2747	0.4227	1.1765	0.9412	0.8824
0.4003	0.4977	0.4985	0.332	0.4649	0.4657	1.7931	0.0732	0.0488
0.397	0.3703	0.4899	0.3177	0.2605	0.4828	1.6296	1.6296	1.4444
0.4482	0.4429	0.4989	0.3875	0.3122	0.49	0.9677	0.5455	0.1282
0.4287	0.429	0.4727	0.2906	0.2617	0.4208	0.6667	0.5714	0.5714
0.4322	0.4626	0.4681	0.3077	0.3885	0.4093	0.6857	0.5714	0.6
0.4305	0.4494	0.4991	0.3474	0.3707	0.49	1	0.7429	0.0952
0.4289	0.4188	0.4959	0.3381	0.2284	0.4881	0.9474	0.6053	0.5263
0.4509	0.4497	0.4804	0.365	0.3064	0.4266	0.6667	0.4412	0.3939
0.4542	0.4676	0.4956	0.322	0.3093	0.4746	0.4255	0.2549	0.2157
0.403	0.4081	0.4811	0.2991	0.2716	0.4574	1.2	0.9	0.8333
0.3808	0.397	0.4937	0.2647	0.3	0.4887	1.4	1.3667	1.3
0.4188	0.4228	0.4751	0.3139	0.2971	0.4331	0.9697	0.7879	0.6364
0.4344	0.4278	0.4913	0.3483	0.3102	0.4778	0.9091	0.7727	0.6591
0.4455	0.4535	0.4954	0.3654	0.376	0.487	0.7931	0.6897	0.5517
0.4624	0.4607	0.4972	0.4025	0.3745	0.4814	0.7	0.525	0.1778
