ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN
0.4449	0.4426	0.4971	0.263	0.2488	0.4894	0.4043	0.4043	0.383
0.4501	0.4505	0.4646	0.3349	0.2618	0.3739	0.525	0.35	0.45
0.433	0.4317	0.4508	0.2926	0.2728	0.3478	0.6136	0.5682	0.5682
0.4355	0.4331	0.4669	0.3076	0.213	0.3859	0.6341	0.439	0.4634
0.4438	0.443	0.4919	0.349	0.3238	0.4778	0.7059	0.5882	0.5882
0.4327	0.4254	0.4577	0.3144	0.2367	0.3519	0.7105	0.5526	0.4737
0.4026	0.3885	0.4174	0.2761	0.1108	0.2971	1.0238	0.7143	0.881
0.4445	0.4342	0.4403	0.3181	0.1712	0.2661	0.5439	0.386	0.4561
0.4534	0.4589	0.4842	0.3782	0.3513	0.4442	0.7097	0.4516	0.4194
0.464	0.4624	0.4826	0.3529	0.3167	0.4233	0.383	0.3191	0.3191
0.4381	0.4374	0.4729	0.3405	0.2209	0.4095	0.7647	0.4118	0.4706
0.4415	0.4376	0.4566	0.3255	0.2493	0.3415	0.619	0.4524	0.4524
0.4779	0.4799	0.4856	0.3395	0.2119	0.3906	0.1915	0.1064	0.1702
0.4268	0.4303	0.4318	0.3015	0.2983	0.2494	0.7442	0.6744	0.5116
0.4546	0.4515	0.4481	0.3545	0.2677	0.2227	0.5349	0.3488	0.3256
0.4103	0.3969	0.4013	0.2979	0.1547	0.2129	1.0256	0.6923	0.7692
0.4351	0.4161	0.4201	0.3443	0.1722	0.2186	0.8571	0.5357	0.5714
0.4647	0.4672	0.4718	0.3484	0.3234	0.3063	0.3607	0.2787	0.2131
0.3898	0.3808	0.3881	0.2955	0.1899	0.2411	1.5185	0.963	1.0741
0.459	0.4682	0.4887	0.3905	0.3771	0.464	0.675	0.4	0.475
0.4352	0.4345	0.4808	0.2901	0.2534	0.4342	0.5763	0.4915	0.4407
0.4346	0.4239	0.4395	0.3392	0.238	0.3061	0.8286	0.5714	0.5714
0.4144	0.4077	0.4673	0.296	0.2549	0.4224	0.931	0.8276	0.7931
0.4319	0.4248	0.4303	0.307	0.2281	0.2356	0.6875	0.5417	0.5
0.4332	0.4296	0.4775	0.3012	0.2876	0.4325	0.6429	0.6429	0.5357
0.4275	0.4271	0.4385	0.3071	0.3017	0.329	0.7609	0.7391	0.6875
0.4175	0.421	0.4252	0.2532	0.2382	0.2305	0.6875	0.6042	0.5417
0.4378	0.4264	0.4275	0.37	0.2928	0.2967	1.0645	0.7097	0.7097
0.4426	0.4423	0.4389	0.3057	0.2098	0.2334	0.5283	0.3585	0.4151
0.4451	0.4454	0.4747	0.3453	0.1779	0.4095	0.6585	0.3095	0.4286
0.4169	0.4095	0.4283	0.303	0.2407	0.2922	0.9286	0.75	0.6786
0.4613	0.4645	0.4651	0.3369	0.2804	0.3062	0.375	0.25	0.275
0.4496	0.4477	0.4918	0.3738	0.3072	0.4662	0.7667	0.4667	0.3333
0.4583	0.4585	0.4793	0.3527	0.3241	0.4056	0.4667	0.3778	0.3111
0.3851	0.3731	0.4067	0.2565	0.1788	0.2934	1.2333	1.0333	1.0667
0.3768	0.3769	0.361	0.3012	0.2992	0.1772	2.1053	2.0526	1.2105
0.4035	0.396	0.4768	0.2841	0.1938	0.4516	1.0625	0.7812	0.9688
0.4113	0.4051	0.4299	0.3148	0.2664	0.3421	1.1538	0.9231	0.9615
0.4219	0.4118	0.4112	0.311	0.1884	0.1661	0.8857	0.6	0.5714
0.42	0.4068	0.4756	0.3356	0.2357	0.4542	1.1538	0.7692	1.1923
0.4092	0.4073	0.4237	0.3109	0.2691	0.3266	1.1667	0.9	0.9667
0.4389	0.4373	0.4345	0.3182	0.2669	0.2703	0.6275	0.4902	0.5294
0.431	0.4255	0.4283	0.2991	0.1826	0.2691	0.6667	0.4667	0.6
0.3921	0.3805	0.4263	0.2797	0.1991	0.3293	1.2759	1	0.931
0.4451	0.4515	0.4904	0.322	0.303	0.4684	0.549	0.4118	0.451
0.4601	0.4524	0.4555	0.3762	0.299	0.301	0.5455	0.3939	0.3636
0.434	0.4269	0.4409	0.3293	0.2571	0.2322	0.7708	0.5833	0.3958
0.4544	0.4537	0.4481	0.3543	0.2711	0.1624	0.5385	0.3333	0.2821
0.418	0.4126	0.4159	0.2669	0.2363	0.2395	0.7273	0.697	0.6667
0.4734	0.4778	0.4872	0.3746	0.3782	0.4175	0.3091	0.2545	0.2
0.4485	0.4484	0.468	0.3319	0.2592	0.3584	0.5366	0.3659	0.3415
0.4026	0.4005	0.4811	0.2525	0.2157	0.4528	0.8936	0.7872	0.7021
0.4284	0.4287	0.438	0.3229	0.285	0.3316	0.8387	0.6452	0.7097
0.4324	0.4229	0.45	0.3384	0.2715	0.3639	0.871	0.6774	0.6774
0.4135	0.3997	0.408	0.3032	0.2185	0.2346	1	0.8056	0.75
0.4487	0.4525	0.4569	0.3601	0.338	0.3223	0.6786	0.5	0.3929
0.3815	0.3787	0.3711	0.2696	0.2281	0.216	1.4333	1.1667	1.2333
0.4286	0.4232	0.4591	0.3372	0.2834	0.3664	0.9474	0.7179	0.5128
0.4214	0.408	0.4347	0.3206	0.2345	0.3226	0.9688	0.75	0.7188
0.4183	0.4169	0.4361	0.2882	0.2779	0.3254	0.8158	0.7895	0.7105
0.4087	0.4129	0.4572	0.2859	0.2501	0.3672	0.9722	0.7368	0.5526
0.4128	0.4181	0.4054	0.2697	0.2874	0.1979	0.8158	0.8158	0.6842
0.4513	0.4469	0.4804	0.354	0.2209	0.4329	0.5909	0.3333	0.4444
0.4226	0.4016	0.4217	0.3274	0.2438	0.2838	1	0.871	0.7419
0.4181	0.4201	0.4539	0.2422	0.2605	0.3823	0.6471	0.6765	0.7353
0.4556	0.4481	0.4888	0.384	0.2685	0.4555	0.7059	0.3824	0.3529
0.4288	0.4319	0.4135	0.3497	0.293	0.136	1.0741	0.6296	0.5185
0.3875	0.3913	0.4141	0.2962	0.2862	0.3142	1.6	1.36	1.08
0.4144	0.4097	0.4293	0.2788	0.2325	0.3206	0.8333	0.7222	0.8056
0.4459	0.4451	0.4956	0.3168	0.2479	0.4807	0.52	0.38	0.3
0.4127	0.4166	0.4259	0.2977	0.2736	0.2822	0.975	0.775	0.675
0.3917	0.3928	0.4053	0.1917	0.208	0.214	0.8276	0.8621	0.7241
0.4262	0.4044	0.4244	0.3563	0.2059	0.2868	1.25	0.7143	0.7143
0.4637	0.4668	0.473	0.3707	0.3487	0.3667	0.451	0.3333	0.2941
0.4355	0.4385	0.4646	0.3127	0.3022	0.3758	0.6571	0.5714	0.4571
0.4096	0.3879	0.4033	0.3193	0.1869	0.2475	1.25	0.8611	0.8611
0.4088	0.4023	0.4272	0.2683	0.1856	0.2779	0.8718	0.6923	0.641
0.4133	0.4054	0.4283	0.3027	0.2146	0.321	1	0.7241	0.8276
0.4199	0.4148	0.4879	0.2955	0.2311	0.4689	0.8286	0.6571	0.6571
0.4395	0.4303	0.4744	0.3526	0.2776	0.4213	0.825	0.6	0.525
0.4524	0.4632	0.4636	0.3375	0.3648	0.3464	0.5	0.4348	0.3696
0.4347	0.4287	0.4696	0.312	0.2191	0.413	0.6667	0.4872	0.5897
0.4374	0.4355	0.4895	0.3233	0.2795	0.4627	0.6757	0.5405	0.4054
0.4377	0.441	0.4425	0.3556	0.2076	0.2457	0.8966	0.3667	0.4
0.4449	0.4383	0.4559	0.3616	0.2883	0.3339	0.7742	0.5312	0.4375
0.4323	0.4323	0.4794	0.2252	0.2252	0.434	0.4634	0.4634	0.4878
0.4019	0.3785	0.4621	0.2949	0.2069	0.4222	1.1875	1.0625	1.0312
0.444	0.4382	0.4629	0.3263	0.1931	0.3778	0.5833	0.375	0.5
0.4436	0.4381	0.4393	0.3287	0.2447	0.2069	0.6	0.44	0.38
0.4542	0.4637	0.4559	0.3491	0.3504	0.3254	0.5172	0.3793	0.4138
0.444	0.4458	0.4566	0.374	0.3316	0.3495	0.9231	0.5769	0.4815
0.4541	0.4536	0.4541	0.3444	0.2992	0.2544	0.5	0.381	0.3095
0.4142	0.4085	0.4067	0.3052	0.268	0.2568	1	0.875	0.85
0.4241	0.4285	0.4787	0.2866	0.3206	0.4484	0.7179	0.8205	0.7436
0.43	0.4195	0.4322	0.3397	0.2265	0.3081	0.9375	0.5938	0.6875
0.4069	0.4121	0.4661	0.2577	0.2995	0.4264	0.8519	1	0.9259
0.449	0.4482	0.4647	0.3304	0.2685	0.3629	0.5238	0.381	0.4048
0.4338	0.4363	0.4486	0.3017	0.2907	0.3248	0.6364	0.5636	0.5091
0.4144	0.3985	0.4885	0.3428	0.2275	0.4746	1.4444	0.8519	0.8519
0.4549	0.4451	0.4759	0.3262	0.2485	0.4142	0.4286	0.381	0.4286
0.4522	0.4447	0.49	0.3389	0.2741	0.4657	0.5082	0.4262	0.4262
0.4865	0.4811	0.4922	0.4552	0.3865	0.4607	0.4516	0.2258	0.2581
0.404	0.3991	0.4208	0.3016	0.2848	0.3309	1.2	1.16	1.08
0.4622	0.4613	0.4756	0.3817	0.3358	0.3912	0.5349	0.3721	0.3256
0.4605	0.4564	0.479	0.3436	0.3153	0.4062	0.4043	0.383	0.3191
0.4321	0.4085	0.4279	0.3476	0.1785	0.3099	0.9615	0.6154	0.7692
0.4262	0.4208	0.4674	0.2547	0.2172	0.4058	0.5854	0.561	0.5854
0.4158	0.3934	0.4752	0.3256	0.1761	0.4441	1.1538	0.7692	0.8462
0.4569	0.4554	0.4606	0.3451	0.3088	0.3428	0.46	0.38	0.4
0.4165	0.4036	0.4919	0.3252	0.2507	0.4809	1.129	0.871	0.7419
