ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN	tajd_AFR
0.4595	0.4574	0.4955	0.336	0.2429	0.4822	0.3951	0.2716	0.3457	1.32995
0.4579	0.4553	0.4873	0.3445	0.3286	0.4509	0.443	0.4304	0.3671	1.15383
0.4551	0.4535	0.4952	0.3498	0.3	0.4842	0.5062	0.3827	0.4444	1.04799
0.4509	0.444	0.4441	0.3439	0.3	0.2951	0.5493	0.493	0.4789	1.17775
0.4485	0.4325	0.4734	0.3614	0.2538	0.4134	0.6923	0.5128	0.4872	0.795041
0.4667	0.4674	0.4957	0.3937	0.3243	0.4791	0.5128	0.2785	0.2658	-0.0199607
0.4259	0.4093	0.4551	0.3231	0.218	0.3839	0.8906	0.6875	0.7188	1.67542
0.4326	0.4278	0.4951	0.3171	0.2581	0.4864	0.726	0.5753	0.5616	1.7972
0.459	0.4599	0.4871	0.3672	0.3075	0.4473	0.5176	0.3294	0.3412	0.643433
0.4249	0.4213	0.4745	0.3052	0.1902	0.4288	0.7949	0.5128	0.6026	2.06339
0.4246	0.4323	0.4519	0.3162	0.3206	0.3768	0.8676	0.75	0.7353	1.82752
0.4486	0.4414	0.464	0.3525	0.2692	0.3608	0.6338	0.4507	0.4085	0.993624
0.4406	0.4269	0.4932	0.3647	0.2939	0.4828	0.9138	0.7069	0.6724	0.713642
0.4502	0.4504	0.4539	0.301	0.2885	0.3193	0.4225	0.3944	0.4225	2.03039
0.4322	0.4383	0.4983	0.2723	0.2719	0.4775	0.5612	0.4898	0.0855	2.68321
0.469	0.47	0.4916	0.3757	0.3411	0.4509	0.3814	0.2784	0.2165	0.431005
0.4562	0.4507	0.4978	0.3874	0.3112	0.4672	0.7206	0.4412	0.075	0.143656
0.4455	0.4375	0.4985	0.3678	0.2458	0.485	0.8158	0.4474	0.1163	0.643047
0.4389	0.4272	0.4366	0.3227	0.222	0.2921	0.6479	0.507	0.5634	1.65995
0.451	0.448	0.4891	0.3558	0.3322	0.4623	0.6061	0.5455	0.4242	0.908952
0.4374	0.4399	0.4936	0.3477	0.3123	0.4796	0.8333	0.5882	0.4706	1.13648
0.4152	0.4216	0.4919	0.2942	0.3083	0.481	0.9048	0.873	0.7619	2.27325
0.4484	0.4541	0.4656	0.3446	0.2575	0.3879	0.5938	0.3134	0.5	1.15949
0.4541	0.45	0.4633	0.3737	0.3105	0.333	0.6588	0.4471	0.3412	0.493075
0.4385	0.4321	0.4802	0.3535	0.2256	0.4417	0.8571	0.4658	0.5479	0.989401
0.4436	0.4417	0.4612	0.3087	0.2517	0.3473	0.5238	0.4167	0.4048	1.94589
0.4561	0.4593	0.4929	0.3593	0.2935	0.4681	0.5312	0.3125	0.2959	0.841621
0.427	0.4299	0.4921	0.3022	0.283	0.4777	0.7439	0.622	0.561	2.12198
0.4523	0.4554	0.4991	0.3747	0.323	0.4886	0.7067	0.4133	0.0843	0.467192
0.4527	0.4444	0.4948	0.3596	0.2951	0.4818	0.5952	0.4762	0.4048	0.83305
0.4508	0.4498	0.4926	0.3633	0.3116	0.4722	0.6562	0.4531	0.375	0.735953
0.4345	0.4358	0.4917	0.314	0.2366	0.4736	0.6795	0.4487	0.4744	1.86084
0.4264	0.4281	0.4574	0.3175	0.3044	0.3821	0.8421	0.7368	0.6447	1.80711
0.3978	0.3917	0.4365	0.2907	0.2469	0.3701	1.2444	1.0444	1.1111	2.34063
0.4394	0.4213	0.492	0.3632	0.2704	0.481	0.9322	0.6949	0.7458	0.750902
0.4336	0.4278	0.4884	0.3045	0.2415	0.4656	0.65	0.5375	0.525	2.05538
0.4631	0.4677	0.4679	0.39	0.3657	0.3477	0.5696	0.3671	0.3165	0.0762547
0.4447	0.4599	0.4943	0.3431	0.3712	0.478	0.6522	0.5217	0.3611	1.20898
0.4684	0.4657	0.4804	0.3537	0.3068	0.4198	0.3243	0.2703	0.3514	0.908836
0.451	0.4993	0.4978	0.3416	0.4861	0.4713	0.5375	0.0532	0.0851	1.23915
0.4643	0.4596	0.4877	0.3502	0.3035	0.4528	0.3708	0.3258	0.3708	1.02084
0.4613	0.4599	0.4703	0.3445	0.2999	0.3369	0.396	0.3168	0.2673	1.16608
0.4478	0.451	0.4938	0.3431	0.3083	0.4769	0.5972	0.4306	0.375	1.20483
0.45	0.4516	0.4954	0.3298	0.3022	0.4854	0.507	0.4085	0.4648	1.47659
0.4333	0.4444	0.4993	0.287	0.291	0.49	0.5909	0.4659	0.0792	2.39962
0.4341	0.4276	0.4937	0.3148	0.2697	0.4821	0.6883	0.6104	0.5584	1.84429
0.437	0.429	0.4474	0.3448	0.2441	0.3258	0.8193	0.5301	0.5301	1.20108
0.4328	0.4408	0.4847	0.2842	0.3054	0.4524	0.5882	0.5507	0.5	2.40703
0.4327	0.4481	0.4996	0.3229	0.35	0.49	0.7564	0.6282	0.0421	1.6835
0.4568	0.4494	0.4866	0.391	0.2482	0.4534	0.7397	0.3425	0.4247	0.0500155
0.4463	0.4309	0.4969	0.3336	0.2365	0.4894	0.578	0.4954	0.422	1.45266
0.4289	0.4561	0.4887	0.3419	0.3853	0.4711	0.9844	0.7031	0.6562	1.26296
0.4431	0.4436	0.4576	0.2963	0.2556	0.3259	0.494	0.4048	0.3929	2.18108
0.4527	0.4482	0.4993	0.3838	0.2856	0.4825	0.7831	0.4118	0.0421	0.238138
0.4287	0.4296	0.4497	0.3069	0.2878	0.3393	0.7397	0.6438	0.5479	2.01063
0.464	0.4576	0.4662	0.3634	0.2696	0.3274	0.4176	0.2967	0.2967	0.726777
0.4458	0.4286	0.49	0.3552	0.2434	0.4699	0.7065	0.5326	0.5109	0.953283
0.4528	0.4344	0.4815	0.3495	0.2265	0.4328	0.5422	0.4458	0.4096	1.06414
0.4566	0.4564	0.4713	0.3688	0.317	0.3723	0.5733	0.3867	0.3333	0.604341
0.4293	0.4274	0.4988	0.3255	0.2449	0.4858	0.8387	0.5484	0.0959	1.61379
0.4314	0.4312	0.4735	0.33	0.2853	0.423	0.828	0.6129	0.5699	1.54921
0.4567	0.4517	0.4973	0.3648	0.3088	0.4892	0.5481	0.4231	0.3429	0.714797
0.4455	0.453	0.4998	0.2865	0.2987	0.49	0.4432	0.3864	0.0196	2.35911
0.4614	0.4548	0.4972	0.3773	0.3189	0.4889	0.5256	0.4103	0.3333	0.395184
0.4625	0.4588	0.4968	0.3581	0.3151	0.4879	0.4222	0.3556	0.3556	0.850092
0.4568	0.4586	0.4647	0.3854	0.3481	0.3572	0.6867	0.4458	0.3855	0.195588
0.4693	0.4676	0.4965	0.3777	0.3208	0.426	0.3832	0.271	0.0531	0.38496
0.435	0.4376	0.4779	0.3057	0.3012	0.4316	0.6351	0.5811	0.5135	2.01574
0.4297	0.4176	0.4149	0.3233	0.2408	0.2144	0.8167	0.65	0.6167	1.65488
0.4613	0.4574	0.4923	0.3773	0.3216	0.4659	0.5286	0.3857	0.3	0.38994
0.4628	0.4629	0.4807	0.3591	0.3369	0.4234	0.4194	0.3548	0.3656	0.830539
0.4484	0.4527	0.4932	0.3389	0.306	0.4724	0.5676	0.4054	0.3378	1.29749
0.4473	0.4409	0.4851	0.3573	0.2394	0.4511	0.6892	0.4054	0.4595	0.88906
0.4481	0.4449	0.4813	0.3342	0.2856	0.4381	0.5526	0.4474	0.4605	1.40202
0.3987	0.3869	0.4997	0.2685	0.1747	0.49	1.0476	0.8413	0.0357	2.78158
0.464	0.4593	0.4676	0.3932	0.322	0.3439	0.5714	0.3636	0.3117	-0.00618406
0.4342	0.4171	0.4944	0.3506	0.2894	0.4865	0.9375	0.8438	0.7188	1.05765
0.4183	0.4186	0.4951	0.3162	0.3078	0.4862	1	0.9298	0.5614	1.82395
0.4544	0.456	0.4975	0.3365	0.329	0.4644	0.4667	0.4222	0.0792	1.35101
0.4419	0.437	0.4822	0.3334	0.3007	0.445	0.6508	0.5873	0.5079	1.41485
0.4341	0.4341	0.4953	0.322	0.2946	0.4643	0.7273	0.6061	0.1579	1.67995
0.4459	0.4494	0.4851	0.3501	0.3273	0.4448	0.6706	0.5059	0.3908	1.06742
0.4258	0.4153	0.4973	0.3343	0.2288	0.4626	0.9873	0.6456	0.0816	1.45388
0.4494	0.4528	0.4766	0.3156	0.2839	0.3851	0.4699	0.3614	0.2892	1.7872
0.4618	0.4504	0.4549	0.3645	0.2753	0.3014	0.4571	0.3714	0.3714	0.689965
0.4235	0.4155	0.4655	0.3226	0.2302	0.4013	0.9385	0.6462	0.6	1.69412
0.4628	0.4639	0.4821	0.3897	0.2721	0.4339	0.5753	0.2466	0.3973	0.0824607
0.4564	0.4409	0.4582	0.3756	0.2602	0.3399	0.6212	0.4394	0.4242	0.43568
0.4693	0.4666	0.4953	0.3776	0.359	0.4747	0.3838	0.3636	0.2323	0.383721
0.4466	0.4395	0.4933	0.34	0.2612	0.4792	0.6023	0.4545	0.4886	1.29473
0.4432	0.4377	0.4697	0.3273	0.2469	0.3997	0.6	0.4471	0.4824	1.57363
0.46	0.4458	0.494	0.3611	0.2413	0.4789	0.473	0.3649	0.4054	0.776144
0.4619	0.4614	0.4906	0.3107	0.2511	0.4493	0.314	0.2479	0.2397	1.88371
0.4302	0.42	0.4335	0.3274	0.2466	0.3008	0.8333	0.6364	0.6364	1.57918
0.4477	0.444	0.4938	0.3326	0.2535	0.4753	0.5513	0.3974	0.3462	1.43936
0.4666	0.4698	0.497	0.406	0.3307	0.4612	0.6105	0.2632	0.0874	-0.351179
0.4572	0.4552	0.4645	0.3922	0.3313	0.3429	0.7424	0.4394	0.3485	0.0193006
0.4756	0.484	0.4988	0.3889	0.375	0.4801	0.3182	0.1685	0.0652	0.100363
0.4467	0.4452	0.4489	0.3279	0.3033	0.3018	0.5488	0.4878	0.439	1.54551
0.4365	0.4439	0.4966	0.3015	0.2896	0.4644	0.5974	0.4675	0.1099	2.09686
0.4617	0.4624	0.4966	0.3945	0.3749	0.4842	0.6389	0.4932	0.274	-0.0404225
0.4286	0.4327	0.4828	0.2957	0.238	0.4461	0.6883	0.4805	0.4935	2.23282
