ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN
0.4436	0.4526	0.4742	0.3311	0.3334	0.3961	0.6111	0.4815	0.3704
0.4586	0.4515	0.4963	0.3991	0.3052	0.4874	0.7778	0.4167	0.4167
0.4022	0.4031	0.4988	0.2712	0.2489	0.488	1	0.871	0.1136
0.4432	0.4466	0.4933	0.3525	0.326	0.4783	0.7429	0.5429	0.4571
0.4589	0.4605	0.4928	0.3917	0.3778	0.4774	0.6905	0.5476	0.4762
0.4285	0.4291	0.4466	0.3151	0.2993	0.3605	0.7879	0.697	0.7273
0.4731	0.4903	0.4992	0.4057	0.4496	0.49	0.4423	0.25	0.0893
0.4379	0.4286	0.4716	0.3337	0.22	0.4077	0.7255	0.4902	0.4902
0.4644	0.4608	0.4922	0.3746	0.3151	0.4615	0.4561	0.3333	0.2632
0.4626	0.4704	0.4982	0.3666	0.3355	0.4803	0.4528	0.2642	0.1053
0.4705	0.455	0.497	0.3877	0.2015	0.4677	0.4032	0.2581	0.1045
0.4358	0.4327	0.4883	0.3461	0.2984	0.4684	0.8571	0.6389	0.6111
0.4569	0.449	0.4885	0.3678	0.2912	0.4578	0.561	0.4146	0.3902
0.4524	0.456	0.4963	0.401	0.3763	0.49	1.0333	0.6333	0.6
0.4723	0.4729	0.4983	0.4209	0.3999	0.4704	0.5862	0.4138	0.0645
0.4569	0.4611	0.4983	0.3743	0.3302	0.4803	0.6	0.3611	0.0976
0.4244	0.4086	0.4985	0.3401	0.2764	0.488	1.0833	0.9167	0.1429
0.4769	0.4769	0.4976	0.3955	0.3953	0.4868	0.3171	0.3171	0.2195
0.4056	0.3977	0.4237	0.2985	0.2286	0.3264	1.1333	0.8667	0.9667
0.4256	0.4063	0.4939	0.3224	0.2645	0.4875	0.8929	0.8929	0.9643
0.4295	0.4933	0.4998	0.3327	0.4846	0.49	0.8889	0.7778	0.0227
0.4405	0.4337	0.4953	0.3516	0.3281	0.4876	0.7949	0.7692	0.6154
0.452	0.4621	0.4931	0.3854	0.3666	0.4664	0.8205	0.4615	0.2667
0.4156	0.4027	0.4851	0.322	0.2288	0.4684	1.12	0.8	0.92
0.4438	0.4222	0.4956	0.3794	0.2875	0.4885	1	0.75	0.625
0.4441	0.4472	0.4937	0.3058	0.2599	0.4775	0.5094	0.3774	0.3962
0.4418	0.4222	0.4933	0.3461	0.301	0.3967	0.7273	0.8182	0.0769
0.4443	0.4458	0.4963	0.3557	0.3391	0.4894	0.7419	0.6129	0.5484
0.4571	0.4571	0.4962	0.364	0.3469	0.4492	0.5366	0.4634	0.0851
0.4322	0.4939	0.4897	0.3324	0.4844	0.4759	0.8286	0.6571	0.7714
0.4192	0.403	0.4742	0.3305	0.2445	0.4452	1.1176	0.8529	0.9412
0.4274	0.4205	0.4906	0.3228	0.2842	0.4432	0.8571	0.7619	0.2115
0.4718	0.4823	0.4992	0.4025	0.4143	0.49	0.4524	0.2857	0.093
0.4561	0.4451	0.4899	0.3868	0.3372	0.473	0.7179	0.6154	0.6154
0.4495	0.4368	0.4945	0.3502	0.3295	0.4524	0.6047	0.7209	0.1373
0.4285	0.4408	0.4961	0.3307	0.3549	0.4896	0.8947	0.8158	0.6053
0.4323	0.4338	0.4806	0.3317	0.2964	0.4487	0.8205	0.6154	0.641
0.4573	0.4566	0.4939	0.3641	0.2898	0.4763	0.5333	0.3333	0.3556
0.4494	0.4499	0.4829	0.3437	0.2938	0.4235	0.5738	0.4098	0.3115
0.4474	0.4984	0.499	0.3725	0.4739	0.4875	0.8108	0.0682	0.0909
0.3953	0.4041	0.495	0.2369	0.2715	0.4464	0.9355	0.9677	0.1087
0.4517	0.4457	0.491	0.3797	0.3205	0.473	0.7674	0.5349	0.5116
0.4558	0.4453	0.4786	0.3715	0.2953	0.4289	0.6047	0.4651	0.4651
